#,Phase,Description,Tasks,Deliverables,Milestones,Alternative names,General / Special
0,Finance,"This process map covers phases commonly involved in a broad range of financing work. It captures at a high level the end-to-end flow of the transaction. Phases may be split if more detail is useful; context-specific and jurisdiction-specific process maps can be based on this one with phases split out, added to or left unused depending on needs.",,,,,
1,Structuring,"Covers initial engagement with the client to develop the legal, tax and regulatory structure of the financing transaction and negotiate the principal commercial terms. Concludes with an agreed Term Sheet or equivalent preliminary document.","Preparing legal analysis, preparing tax analysis, preparing regulatory analysis, assessing corporate structures, liaising with local counsel, advice, preparing Term Sheet, reviewing Term Sheet, negotiating Term Sheet, commenting on Term Sheet","Term Sheet, Deal Structure, Structuring Memos, Legal Opinions, Tax Opinions, Preliminary Documents","Mandate agreed, Term Sheet agreed in final form",Planning,General
2,Due diligence,"Review and analysis of law, regulations, documents and related information relevant to the transaction. Culminates in a due diligence report or memorandum of advice identifying key legal risks and issues.","Document review, document triage, preparing and completing due diligence questionnaires, liaising with local counsel","Due Diligence reports, Memos of advice","Due diligence questionnaire issued, due diligence report or memo of advice issued",Document review,General
3,Documents,"Preparation, review and negotiation of all transaction documents. This phase may be split into Core Documents and Ancillary Documents sub-phases if the volume or complexity of documentation warrants it.","Preparing initial drafts, liaising with local counsel, reviewing client policy guides, conference calls, advising clients, reviewing comments, negotiating documents, revising documents","Core Commercial Agreements, Facility Agreements, Intercreditor Agreements, Guarantees, Common Terms Agreements / All Parties Agreements, Lease Agreements, Security Documents, Ancillary Documents, Legal Opinions","First drafts circulated, documents agreed in final form",,General
4,Conditions precedent,"Preparation, review and satisfaction of conditions precedent to utilisation or closing. Includes transaction management and administration of any transaction platforms used to track and manage the conditions precedent process.","Preparing initial drafts, liaising with local counsel, advising clients, reviewing comments, negotiating documents, revising documents, updating conditions precedent checklists","Legal Opinions, Corporate Documents, Asset specific documents, Preparatory Filings, Conditions precedent checklist","Conditions precedent checklist agreed, all conditions precedent satisfied",,General
5,Court attendances,Preparation and review of court documents and attendance at court hearings in connection with insolvency or restructuring processes. Not required in most financing transactions; include only where court processes form part of the transaction structure.,"Preparing court documents, attending court hearings, advising clients with respect to court processes and outcomes","Court Documents, Advice Memos","Court application filed, court order or approval obtained",,Special
6,Closing,"All work related to pre-closing and closing, including preparation of signing instructions and signature packs, management of closing rooms and electronic signature platforms, and attendance at closing meetings. Includes issue of conditions precedent satisfaction letters and registrations or filings required at or immediately after closing.","Preparing signing instructions, preparing signature packs, setting up closing rooms, setting up electronic signature platforms, liaising with local counsel","Conditions Precedent satisfaction letters, Closing Agendas, Executed transaction documents","Signature packs or closing room ready, transaction closed","Completion, Signing",General
7,Post-closing,"All work arising after closing, including satisfaction of conditions subsequent, completion of post-closing registrations and security filings, and preparation of deal bibles and original document sets. Concludes when all post-closing obligations have been discharged and deal records are complete.","Preparing transaction bibles for relevant deal parties, collating original documents and sending to deal parties, completing post-closing registrations and security filings","Bringdown Legal Opinions, Confirmations of filings and registrations, End-of-deal memos, End-of-deal Checklists, Deal bibles","Post-closing registrations and filings completed, deal bible issued to all parties","Conditions subsequent, Registrations, Filings",General
