#,Phase,Description,Tasks,Deliverables,Milestones,Alternative names,General / Special,Parent phase,Relationship to parent
0,Commercial Real Estate Trn - E&W,"This process map is based on the Commercial Real Estate Transaction process map and is a direct application to a Commercial Real Estate transaction in England & Wales. It aims to be relevant across the broad range of transactional work so as to enable them to be handled and analysed in a like-for-like way. Drafting and negotiation are covered in a single phase rather than separating by document type. Phases in specific matters should be based on this process map or a defined derivative. At matter level, work and deliverables may be elaborated, modified, added to or left unused depending on needs.",,,,,,,
1,Structuring,"Covers work from initial engagement with the client through scoping the work required, establishing the team and working practices, high-level structuring advice, and negotiation of Heads of Terms or Term Sheet. Concludes with agreed Heads of Terms.","Covering work from initial engagement with the client, scoping the work required, establishing the team and working practices, high level structuring advice, establish working relationships with other parties on the project, and working with the client to negotiate Heads / Term Sheet","Engagement Letter, Project Plan, Team Sheet, Structure Diagram(s), Heads of Terms, Documents List","Engagement letter issued, Heads of Terms agreed","Matter Set Up, Scoping",General,Initial structuring and strategic advice,One to one
2,Due diligence,"Review, analysis and reporting on law, regulation and documents in respect of the transaction, including related technical and financial documents and context. Often culminates in an agreed form of report to the client or lender and advice as to mitigating risk.","Obtaining title and other information, populating a dataroom, reviewing documents in a dataroom, analysis of the key aspects and risks of the assets, instructing and review of property searches. Often culminating in an agreed form of report to the client or lender and advice as to mitigating risk.","Red Flag Reports, Certificates of Title, Title Reports, Lease Reports, Environmental Reports, Draft Insurance Policies","Property searches completed, due diligence report issued to client or lender",Due diligence and reporting,General,Due diligence,One to one
3,Documents,"Preparation, review and negotiation of all transaction legal documents, including all related communications with the client, counterparty and other advisors. Covers settlement of document terms and implementation of risk mitigation strategies identified during due diligence.","Preparing initial drafts based on Heads of Terms, liaising with counsel, advising clients, reviewing comments, negotiating documents, revising documents","Leases, agreement for leases, development agreements, transfers, option agreements, funding agreements, licences, memoranda, deeds (eg rent deposit, variations, covenant), easements, wayleaves, legal charges, debentures, discharges, advice notes, legal opinions","First drafts circulated, documents agreed in final form",Drafting and negotiation,General,Drafting and negotiation,One to one
4,Completion,"All work required to take the parties from agreeing the terms of documents to entering into legally binding obligations and completing all transactional elements including the transfer of required funds. Uses England & Wales-specific procedures including Land Registry searches, Companies House searches and the Law Society's Code for Completion by Post where applicable.","Conditions precedent, official searches, land charges searches, Companies House searches, insolvency searches, undertakings, engrossments, execution (including e-signing), completion calls, financial processes to transfer monies, sending documents","Completion checklist, official searches, financial processes, signed documents, completion statement, undertakings, Land Registry certificates, invoices, powers of attorney, Companies House searches, land charges searches, winding up search, solicitors completion requirements","Pre-completion searches completed, transaction completed","Closing, Signing and completion",General,Signing and completion,One to one
5,Post-completion,"All work arising after completion, including HMRC and WRA tax submissions, HMLR registration applications, Companies House filings, and preparation of the transaction bible. Concludes when all registrations have been processed and confirmed.","HMLR applications, HMRC and WRA submissions, Companies House applications, managing the physical and electronic deeds, reporting to client and any conditions subsequent, dealing with completion monies, sending documents to counterparty, serve notices","SDLT Returns, WRA Returns, HMLR Applications (for registration), reviewing HMLR registered deeds/documents (Leases, Title Registers etc) once applications have been processed, lease reports, Companies House applications and certificates, Transaction Bible","Tax returns submitted, HMLR registration confirmed, transaction bible issued","Post-closing, Post-completion",General,Post-completion,One to one
