#,Phase,Description,Tasks,Deliverables,Milestones,Alternative names,General / Special
0,Commercial Real Estate Transaction,"This process map covers the phases commonly involved in a Commercial Real Estate transaction, designed to be applied across jurisdictions. It aims to be relevant across the broad range of transactional work — including acquisitions, disposals and asset management — so as to enable them to be handled and analysed in a like-for-like way. Drafting and negotiation are covered in a single phase rather than separating by document type, which would limit the process map's applicability. Phases in specific matters should be based on this generic process map or a defined derivative. At matter level, work and deliverables may be elaborated, modified, added to or left unused depending on needs.",,,,,
1,Structuring,"Covers work from initial engagement with the client through scoping the work required, establishing the team and working practices, high-level structuring advice, and negotiation of Heads of Terms or Term Sheet. Concludes with agreed Heads of Terms.","Covering work from initial engagement with the client, scoping the work required, establishing the team and working practices, high level structuring advice, establish working relationships with other parties on the project, and working with the client to negotiate Heads / Term Sheet","Engagement Letter, Project Plan, Team Sheet, Structure Diagram(s), Heads of Terms, Documents List","Engagement letter issued, Heads of Terms agreed","Matter Set Up, Scoping",General
2,Due diligence,"Review, analysis and reporting on law, regulation and documents in respect of the transaction, including related technical and financial documents and context. Often culminates in an agreed form of report to the client or lender and advice as to mitigating risk.","Obtaining title and other information, populating a dataroom, reviewing documents in a dataroom, analysis of the key aspects and risks of the assets, instructing and review of property searches. Often culminating in an agreed form of report to the client or lender and advice as to mitigating risk.","Red Flag Reports, Certificates of Title, Title Reports, Lease Reports, Environmental Reports, Draft Insurance Policies","Property searches completed, due diligence report issued to client or lender",Due Diligence & Reporting,General
3,Documents,"Preparation, review and negotiation of all transaction legal documents, including all related communications with the client, counterparty and other advisors. Covers settlement of document terms and implementation of risk mitigation strategies identified during due diligence.","Preparing initial drafts based on Heads of Terms, liaising with counsel, advising clients, reviewing comments, negotiating documents, revising documents, procuring and/or reviewing insurance policies","Leases, agreement for leases, development agreements, transfers, option agreements, funding agreements, licences, memoranda, deeds (eg rent deposit, variations, covenant), easements, wayleaves, legal charges, debentures, discharges, advice notes, legal opinions","First drafts circulated, documents agreed in final form",,General
4,Closing,All work required to take the parties from agreeing the terms of documents to entering into legally binding obligations and completing all transactional elements including the transfer of required funds.,"Conditions precedent, official searches, land charges searches, company searches, insolvency searches, undertakings, engrossments, execution (including e-signing), completion calls, financial processes to transfer monies, sending documents","Completion checklist, official searches, funds transfers, financial processes, signed documents, completion statement, undertakings, invoices, powers of attorney, company searches, land charges searches, winding up search, solicitors completion requirements","Pre-completion searches completed, transaction completed",Signing and Completion,General
5,Post-closing,"All work arising after closing, including registration of legal interests with the relevant authorities, payment of required fees, and documentation of the transaction for future reference.","Land applications, tax submissions, company verification checks, managing the physical and electronic documents, reporting to client and any conditions subsequent, dealing with completion monies, sending documents to counterparty, serve notices","Land receipts, tax returns, updated title documents, lease reports, company certificates, transaction bible","Tax submissions made, registrations completed, transaction bible issued",Post-Completion,General
