#,Phase,Description,Tasks,Deliverables,Milestones,Alternative names,General / Special,Parent phase,Relationship to parent
0,Asset Finance,"This process map covers phases commonly involved in a broad range of asset finance work. It captures at a high level the end-to-end flow of the transaction. Compared with the parent Finance process map, this process map: splits Documents into Core and Ancillary phases (given the range of documents typically used in asset finance); excludes Court attendances (not usually relevant in asset finance); and adds a Delivery phase.",,,,,,,
1,Structuring,"Covers initial engagement with the client to develop the legal, tax and regulatory structure of the asset finance transaction and negotiate the principal commercial terms. Concludes with an agreed Term Sheet or equivalent preliminary document.","Preparing legal analysis, preparing tax analysis, preparing regulatory analysis, assessing corporate structures, liaising with local counsel, advice, preparing Term Sheet, reviewing Term Sheet, negotiating Term Sheet, commenting on Term Sheet","Term Sheet, Deal Structure, Structuring Memos, Legal Opinions, Tax Opinions, Preliminary Documents","Mandate agreed, Term Sheet agreed in final form",Planning,General,Structuring,One to one
2,Due diligence,"Review and analysis of law, regulations, documents and related information relevant to the transaction. Culminates in a due diligence report or memorandum of advice identifying key legal risks and issues.","Document review, document triage, preparing and completing due diligence questionnaires, liaising with local counsel","Due Diligence reports, Memos of advice","Due diligence questionnaire issued, due diligence report or memo of advice issued",Document review,General,Due diligence,One to one
3,Documents (core),"Preparation, review and negotiation of the principal transaction documents. Covers core commercial and finance agreements. Ancillary documents are handled in a separate phase.","Preparing initial drafts, liaising with local counsel, reviewing client policy guides, conference calls, advising clients, reviewing comments, negotiating documents, revising documents","Core Commercial Agreements, Facility Agreements, Intercreditor Agreements, Guarantees, Common Terms Agreements / All Parties Agreements, Lease Agreements","First drafts of core documents circulated, core documents agreed in final form",Principal Documents,General,Documents,Splits parent phase
4,Documents (ancillary),"Preparation, review and negotiation of ancillary transaction documents, including security documents and legal opinions. Runs in parallel with or after the core documents phase.","Preparing initial drafts, liaising with local counsel, reviewing client policy guides, conference calls, advising clients, reviewing comments, negotiating documents, revising documents","Security Documents, Ancillary Documents, Legal Opinions","First drafts of ancillary documents circulated, ancillary documents agreed in final form",,General,Documents,Splits parent phase
5,Conditions precedent,"Preparation, review and satisfaction of conditions precedent to utilisation or closing. Includes transaction management and administration of any transaction platforms used to track and manage the conditions precedent process.","Preparing initial drafts, liaising with local counsel, advising clients, reviewing comments, negotiating documents, revising documents, updating conditions precedent checklists","Legal Opinions, Corporate Documents, Asset specific documents, Preparatory Filings, Conditions precedent checklist","Conditions precedent checklist agreed, all conditions precedent satisfied",,General,Conditions precedent,One to one
6,Closing,"All work related to pre-closing and closing, including preparation of signing instructions and signature packs, management of closing rooms and electronic signature platforms, and attendance at closing meetings.","Preparing signing instructions, preparing signature packs, setting up closing rooms, setting up electronic signature platforms, liaising with local counsel","Conditions Precedent satisfaction letters, Closing Agendas, Executed transaction documents","Signature packs or closing room ready, transaction closed","Completion, Signing",General,Closing,One to one
7,Delivery,Work related to the physical or constructive delivery of the financed asset(s). Includes attendance at delivery meetings and review and signing of delivery documents. This phase has no equivalent in the parent Finance process map.,"Preparing documents for delivery meeting, attendance at delivery meeting, review of documents in delivery meeting, signing documents in delivery meeting","Delivery day documents, Manufacturer Documents","Delivery meeting attended, delivery documents executed",,General,,No equivalent
8,Post-closing,"All work arising after closing, including satisfaction of conditions subsequent, completion of post-closing registrations and security filings, and preparation of deal bibles and original document sets.","Preparing transaction bibles for relevant deal parties, collating original documents and sending to deal parties, completing post-completion registrations and security filings","Bringdown Legal Opinions, Confirmations of filings and registrations, End-of-deal memos, End-of-deal Checklists, Deal bibles","Post-closing registrations and filings completed, deal bible issued to all parties","Conditions subsequent, Registrations, Filings",General,Post-closing,One to one
