Code,Name,Parent,Definition,Governance note
inf-use,Information use,,The purpose or significance for which material is classified in a particular context. A single item may carry more than one use classification simultaneously (e.g. a key deliverable that is also contextual knowledge for the client relationship). Use is assigned by a person or process; it is not an intrinsic property of the material itself.,
inf-use-r,Work record,inf-use,"The material relates to a specific matter or remit and is classified primarily for matter management purposes. Work record classifications support retrieval, status tracking and matter reporting.",Work record classifications are typically applied at the point of creation or filing by the matter team.
inf-use-1,Work record > general,inf-use-r,The material forms part of the working record of a matter or remit. It is retained for completeness and audit purposes but has no specific significance beyond that context.,Default classification for matter documents not otherwise flagged.
inf-use-2,Work record > key,inf-use-r,"The material represents an important milestone, deliverable or attribute of a matter or remit. It warrants specific attention in matter management, reporting or handover.","Typical triggers: executed agreements, final legal opinions, completed compliance steps, approved budgets, court orders, closing sets. Should be applied selectively: not every document in a matter is key."
inf-use-k,Knowledge,inf-use,"The material has value beyond its originating matter or remit and is classified for organisational knowledge purposes. Knowledge classifications support retrieval, reuse and guidance across matters.","Knowledge classifications involve a judgement about future value. They should be applied by someone with the authority to make that judgement, and reviewed periodically."
inf-use-3,Knowledge > contextual,inf-use-k,"The material is useful context for future work with the same client, counterparty or on the same subject matter. It informs future work (e.g. to ensure consistency or avoid contradicting a prior position) but has not been validated as reusable guidance for the organisation generally.","No formal validation required, but the person classifying should have sufficient knowledge of the matter to assess relevance. Distinguished from inf-use-4 (good practice) by the absence of endorsement and the narrower audience: typically useful to those dealing with this client or subject matter, not the organisation at large."
inf-use-4,Knowledge > good practice,inf-use-k,"The material has been reviewed and endorsed as a useful example of good practice, suitable for guidance in similar future matters. It is available to the organisation generally, not only to those with prior involvement.","Requires: designated review and endorsement by a responsible individual or body (e.g. practice group lead, knowledge lawyer). The endorsement and endorser should be recorded. Distinguished from inf-use-3 (contextual) by the formal endorsement step and broader intended audience."
inf-use-5,Knowledge > canonical,inf-use-k,The material provides the organisation's definitive approach to a topic or type of work. Departure from a canonical asset requires explicit justification. Supersedes other guidance on the same topic.,"Requires: formal approval by a designated authority (e.g. practice head, knowledge committee, general counsel). Canonical assets should be actively maintained: ownership assigned, review cycle set, superseded assets flagged or withdrawn. In organisations without a formal knowledge management function, this level should be used sparingly."
