#,Phase,Description,Tasks,Deliverables,Milestones,Alternative names,General / Special,Parent phase,Relationship to parent
0,Arbitration or Expert Determination,"This process map covers phases commonly involved in an arbitration or expert determination, ie a dispute submitted by agreement of the parties to one or more arbitrators or experts who can bindingly decide on the merits. It aims to be relevant across different arbitration and expert determination systems and styles, and across national traditions, so as to enable them to be handled and analysed in a like-for-like way. This wide range has design implications — in particular, a relatively small number of phases not separated out in a system-specific way. The phases are the same as those of the parent process map (Binding Dispute Resolution) on which this process map is based, but with arbitration-specific content.",,,,,,,
1,Commencement,"Covers exchange of information and positions before arbitration, initiation of arbitration, exchange of claims and responses, and establishment of the tribunal. Open statements of a party's legal position are included here; settlement proposals are excluded (see Settlement phase). Procedural failures at commencement belong here; disputes about jurisdiction or validity of the arbitration agreement belong in Related proceedings. Initial pleadings are included here; subsequent rounds belong in Pleadings and evidence.","appoint arbitrator, appoint tribunal secretary, choose arbitration rules, correspond before proceedings, determine law applicable to substance of dispute, determine law applicable to the arbitration, determine seat of arbitration, establish advance on costs, establish language of arbitration, establish tribunal, exchange initial communications, file or serve request for arbitration or notice of arbitration, identify applicable law, pay advance on costs, pay initial arbitration fees, prepare answer, prepare arbitration agreement, prepare claim, prepare counterclaim, prepare description of dispute, prepare statement of relief sought, prepare terms of reference, review arbitration institution options, select arbitration institution","answer / defence / response, appointment letter for tribunal secretary, appointment letters for arbitrators, arbitration agreement, conflict of interest disclosure from arbitrator, counterclaim, decision constituting the tribunal, decision on the place or seat of arbitration, decision or agreement on applicable arbitration rules, decision or agreement on language of arbitration, decision or agreement on law applicable to the arbitration, decision or agreement on the law(s) applicable to the substance of the dispute, description of dispute, letter before claim, nomination of arbitrator, notice of arbitration / request for arbitration, proof of payment of initial arbitration fees, response to letter before claim, statement of relief sought, terms of reference","Notice of arbitration served and response received, tribunal constituted, terms of reference agreed (if applicable)",,General,Commencement,One to one
2,Case management,"Covers establishment of the procedure, timetable and (if applicable) budget, interim measures, and resolution of issues arising other than the merits of the case. Summary determinations belong in Resolving the merits. Applications about evidence (eg document production, Redfern schedules) are included here; gathering evidence is in Pleadings and evidence.","apply for conservatory or interim measures, apply for disclosure or document production, apply for emergency arbitrator, apply to consolidate or join, consider need for site visits or evidence inspections, consider other party's applications or motions, establish procedural timetable, prepare and seek approval of protocols for document production and witness evidence, prepare and seek approval of Redfern schedules, prepare for attend and appear at case management meetings or conference or procedural hearings, set deadlines, set procedural timetable","application or motion, case management meeting, challenge to arbitrator, CMC minutes, conservatory measures, document production order, early dismissal decision, emergency arbitrator appointment, emergency arbitrator decision, interim measures order, joinder decision, jurisdiction challenge decision, procedural order, procedural timetable, protocols for document production, protocols for witness statements and examination, protocols for written submissions (pre-hearing and post-hearing), Redfern schedule, site visit or inspection schedule","Procedural timetable agreed, any interim measures applications determined",Procedural matters,General,Case management,One to one
3,Pleadings and evidence,"Covers preparation and exchange of pleadings, memorials and all evidence. This phase includes memorials (combining legal submission and evidence) as used in many arbitrations. Initial exchanges of claims and answers belong in Commencement. Live examination of witnesses at the hearing belongs in Resolving the merits. Evidence prepared solely for Case management is excluded.","advise on factual legal and evidential issues, analyse and respond to statements reports memorials and submissions, analyse disclosed documents, analyse documents for potential disclosure, analyse expert reports, analyse factual and legal issues, conduct legal research, coordinate with local counsel for jurisdiction-specific legal issues, deduplicate documents, establish keywords, gather analyse and disclose documentary evidence, handle objections to document production requests, instruct expert witnesses, interview witnesses of fact, organise and manage the evidentiary record, prepare memorials and submissions, prepare witness statements, review documents, select ediscovery / edisclosure platform, use technology-assisted review / TAR","advice on factual legal and evidential issues, document analysis, document or exhibit list, documentary evidence, expert report, inspection or site visit report, memorial, pleading, witness statement","Memorials or pleadings exchanged, document production completed, witness statements and expert reports exchanged",Memorials,General,Pleadings and evidence,One to one
4,Resolving the merits,"Covers presentation of substantive issues to the tribunal and obtaining decisions on those issues and costs. This will often involve one or more hearings but not necessarily in all systems. Where the process provides for a summary resolution of some or all of the merits, that falls into this phase rather than Case management.","address factual, legal and procedural issues at substantive hearing, examine witnesses, make submissions on costs, prepare and deliver opening and closing statements, prepare for and appear at substantive hearing, prepare opening and closing statements, prepare post-hearing memorials or submissions, prepare witness examination, request additional award, request correction or interpretation of award","award, brief, cast of characters, chronology, closing statement, correction or interpretation of award, decision on costs, dramatis personae, final award, interim award, key players list, opening statement, post-hearing submissions / memorials, skeleton argument, transcript of hearing, witness schedule, written submissions","Substantive hearing(s) completed, final award issued","Merits hearing(s), Substantive hearing(s)",General,Resolving the merits,One to one
5,Settlement,Covers seeking an agreed resolution of substantive issues in the case. This is a standing phase that runs throughout the matter.,"analyse BATNAs, analyse settlement options, draft and negotiate settlement agreement, engage in ADR, engage in alternative dispute resolution, engage in early neutral evaluation, engage in ENE, engage in med-arb, engage in mediation, engage in negotiated dispute resolution, engage in NDR, engage in other forms of non-binding dispute resolution, engage in settlement discussion, explore settlement options, hold without prejudice discussion, identify common ground, identify key decision-makers for settlement, implement agreed settlement terms, make and analyse offer or counter-offer, negotiate confidentiality terms for settlement discussions, obtain necessary approvals for settlement, prepare position paper, present position in settlement meeting, select a neutral party for mediation or facilitation","award by consent, position paper, response to settlement offer, settlement agreement, settlement offer, termination order","Settlement discussions formally commenced, settlement agreement or consent award reached (if applicable)",,General,Settlement,One to one
6,Related proceedings,"Covers challenges to the bringing of proceedings, challenges to arbitral appointments, challenges to awards or decisions, and enforcement of awards or decisions. Challenges to jurisdiction and to the validity of the arbitration agreement are included here, whether brought in the arbitration itself or in a court. If a challenge brought in court is likely to be complex, consider opening a separate matter or sub-matter with its own phases.","appeal against award, apply for or resist anti-arbitration injunction, apply for or resist anti-suit injunction, apply for or resist conservatory or interim measures from court, apply for or resist court order for document disclosure from third parties, apply for or resist court order to clarify arbitrator's jurisdiction, apply for or resist court order to compel arbitration, apply for or resist court order to confirm or clarify arbitrator's jurisdiction, apply for or resist court order to dismiss or stay court proceedings in favour of arbitration, apply for or resist court order to enforce or recognise arbitration award, apply for or resist court order to extend time limit for arbitration proceedings, apply for or resist court order to preserve evidence, apply for or resist court order to remove arbitrators, apply for or resist court order to set aside arbitration award, apply for or resist the interpretation or correction of an award, challenge arbitrator's impartiality or independence in court, enforce arbitration award, obtain court assistance to take evidence, pursue or resist parallel court proceedings, recognise arbitration award, register arbitration award, seek recusal of arbitrator","anti-arbitration injunction, arbitrator appointment order, court application, court decision, court order for consolidation of related arbitrations, court order for document disclosure from third parties, court order for interim measures, court order to compel arbitration, court order to confirm arbitrator's jurisdiction, court order to dismiss or stay court proceedings, court order to extend time limits, court order to remove arbitrators, court order to set aside award, dismissal of proceedings in favour of arbitration, enforcement order, evidence obtained through court assistance, interpretation or correction of award, notice of appeal, registration of award, stay of proceedings in favour of arbitration","Related proceedings or court application filed, outcome received","Challenges, appeals and enforcement",Special,Related proceedings,One to one
