#,Phase,Description,Tasks,Deliverables,Milestones,Alternative names,General / Special
0,Binding Dispute Resolution,"This process map covers phases commonly involved in a dispute resolution process the result of which is legally binding on the parties even if they don't agree. Examples are civil litigation, arbitration or expert determination (as opposed to non-binding processes such as negotiation, mediation or early neutral evaluation). The process map aims to be relevant across different types of process and national traditions so as to enable them to be handled and analysed in a like-for-like way. For instance, evidence and written submissions are covered in a single phase rather than separating them out in a system-specific way. More specific process maps are based on this parent one.",,,,,
1,Commencement,"Covers exchange of information and positions before formal proceedings, initiation of formal proceedings, and exchange of initial claims and responses. Open statements of a party's legal position are included here; settlement proposals are excluded (see Settlement phase). Procedural failures at commencement (eg failure to pay filing fees, service issues) are included here; disputes about jurisdiction belong in Related proceedings.","acknowledge service, appoint arbitrator, appoint tribunal secretary, choose arbitration rules, correspond before action / claim, correspond before proceedings, determine law applicable to substance of dispute, determine law applicable to the arbitration, determine seat of arbitration, establish advance on costs, establish language of arbitration, establish tribunal, exchange initial communications, file initial court documents, file or serve request for arbitration or notice of arbitration, identify applicable law, issue proceedings, pay advance on costs, pay initial arbitration fees, pay initial court fees, prepare and review pleadings, prepare answer, prepare arbitration agreement, prepare claim, prepare complaint, prepare counterclaim, prepare crossclaim, prepare defence, prepare description of dispute, prepare initial court documents, prepare reply, prepare statement of claim, prepare statement of relief sought, prepare terms of reference, receive service, review arbitration institution options, select arbitration institution, serve proceedings / complaint / process / request","acknowledgement of service, answer / defence, arbitration agreement, claim form, counterclaim / crossclaim, decision constituting the tribunal, description of dispute, letter before action / claim, nomination of arbitrator, notice of arbitration / request for arbitration, proof of payment of initial fees, reply, statement of relief sought, terms of reference, writ","Letter before claim or notice sent and response received, proceedings commenced, initial pleadings exchanged",,General
2,Case management,"Covers establishment of the procedure, timetable and (if applicable) budget, interim measures, and resolution of issues arising other than the merits of the case. Summary determinations belong in Resolving the merits. Applications about evidence (eg document production orders) are included here; gathering evidence is in Pleadings and evidence.","appear at or attend case management conference / CMC / case management meeting, appear at or attend procedural hearing, apply for conservatory measures, apply for conservatory or interim measures, apply for disclosure or document production, apply for emergency arbitrator, apply for freezing order, apply for interim injunction, apply for interim measures, apply for temporary preservation order, apply to consolidate, apply to consolidate or join, apply to join, consider need for site visits or evidence inspections, consider other party's applications or motions, establish procedural timetable, prepare and seek approval of protocols for document production and witness evidence, prepare and seek approval of Redfern schedules, prepare for attend and appear at case management meetings or conference or procedural hearings, set deadlines, set procedural timetable","application or motion, case management meeting, challenge to arbitrator, CMC minutes, conservatory measures, decision or order made on application or motion, directions, document production order, early dismissal decision, emergency arbitrator decision, interim measures order, joinder decision, jurisdiction challenge decision, procedural order, procedural timetable, protocols for document production, protocols for witness statements and examination, Redfern schedule, site visit or inspection schedule","Procedural timetable agreed, any interim applications determined",Procedural matters,General
3,Pleadings and evidence,Covers preparation and exchange of pleadings or memorials and all evidence. Pleadings and evidence are combined in a single phase to accommodate the variety of ways in which these topics are addressed in different systems. This phase includes memorials (combining legal submission and evidence) as used in some courts and arbitrations. Initial exchanges of claims and answers (including an initial round of pleading) belong in Commencement. Evidence prepared solely for Case management is excluded.,"advise on factual legal and evidential issues, analyse and respond to statements reports memorials and submissions, analyse disclosed documents, analyse documents for potential disclosure, analyse expert reports, analyse factual and legal issues, conduct legal research, coordinate with local counsel for jurisdiction-specific legal issues, deduplicate documents, gather analyse and disclose documentary evidence, handle objections to document production requests, instruct expert witnesses, interview factual witnesses, interview witnesses of fact, organise and manage the evidentiary record, prepare advice on factual, evidential or legal issues, prepare and analyse memorials, written submissions and pleadings, prepare factual witness statements, prepare memorials and submissions, prepare witness statements, review documents, review draft and final reports of expert witnesses, review factual witness statements, select ediscovery / edisclosure platform, use technology-assisted review / TAR","advice on factual, evidential or legal issues, amended pleading, depositions, document or exhibit list, documentary evidence, expert report, further and better particulars, further information, inspection or site visit report, memorial, pleading, request for further information, witness statement","Pleadings or memorials exchanged, evidence exchanged",,General
4,Resolving the merits,"Covers presentation of substantive issues to the decision-maker(s) and obtaining decisions on the substantive issues and costs. This will often involve one or more hearings but not necessarily in all systems. Where the process provides for summary resolution of some or all of the merits, that falls into this phase rather than Case management.","address factual, legal and procedural issues at substantive hearing, argue factual legal and procedural issues, examine witnesses, make submissions, make submissions on costs, prepare and appear at substantive hearing, prepare and appear at summary judgment hearing, prepare and appear at trial of preliminary issue, prepare and appear on strike-out application, prepare and deliver opening and closing statements, prepare for and appear at substantive hearing, prepare opening and closing statements, prepare post-hearing memorials or submissions, prepare witness examination, represent party at substantive hearing, request additional award, request correction or interpretation of award, resolve how substantive hearing will be conducted","award, brief, cast of characters, chronology, closing statement, correction or interpretation of award, decision judgment or judicial opinion, decision on costs, final award, interim award, note of hearing, opening statement, post-hearing submissions / memorials, skeleton argument, transcript of hearing, witness schedule, written submissions","Substantive hearing(s) completed, decision, judgment or award issued",,General
5,Settlement,Covers seeking an agreed resolution of substantive issues in the case. Settlement proposals are included here even if made before formal proceedings start. This is a standing phase that runs throughout the matter.,"analyse BATNAs, analyse settlement options, draft and negotiate settlement agreement, engage in ADR, engage in alternative dispute resolution, engage in early neutral evaluation, engage in ENE, engage in med-arb, engage in mediation, engage in negotiated dispute resolution, engage in NDR, engage in other forms of non-binding dispute resolution, engage in settlement discussion, explore settlement options, hold without prejudice discussion, identify common ground, identify key decision-makers for settlement, implement agreed settlement terms, make and analyse offer or counter-offer, negotiate confidentiality terms for settlement discussions, obtain necessary approvals for settlement, prepare position paper, present position in settlement meeting, select a neutral party for mediation or facilitation","award by consent, consent order, mediation position paper, mediation settlement agreement, position paper, response to settlement offer, settlement agreement, settlement offer, termination order","Settlement discussions formally commenced, settlement agreement reached and implemented (if applicable)",,General
6,Related proceedings,"Covers challenges to the bringing of proceedings, challenges to appointments or involvement of decision-makers, enforcement of decisions, and challenges to decisions. Challenges to jurisdiction / venue / forum are included here. If related proceedings brought in a different forum are likely to be complex, consider opening a separate matter or sub-matter with its own phases.","appeal, appeal against award, apply for or resist anti-arbitration injunction, apply for or resist anti-suit injunction, apply for or resist conservatory or interim measures from court, apply for or resist court order for document disclosure from third parties, apply for or resist court order to clarify arbitrator's jurisdiction, apply for or resist court order to compel arbitration, apply for or resist court order to confirm or clarify arbitrator's jurisdiction, apply for or resist court order to dismiss or stay court proceedings in favour of arbitration, apply for or resist court order to enforce or recognise arbitration award, apply for or resist court order to extend time limit, apply for or resist court order to preserve evidence, apply for or resist court order to remove arbitrators, apply for or resist court order to set aside arbitration award, apply for or resist recusal, apply for or resist the interpretation or correction of an award, apply to or resist setting aside of decision, challenge arbitrator's impartiality or independence in court, challenge jurisdiction or forum or venue, enforce arbitration award, enforce or resist enforcement, obtain court assistance to take evidence, pursue or resist parallel court proceedings, recognise arbitration award, register arbitration award, seek recusal of arbitrator","anti-arbitration injunction, arbitrator appointment order, court application, court decision, court order for interim measures, court order to compel arbitration, court order to confirm arbitrator's jurisdiction, court order to dismiss or stay proceedings, court order to remove arbitrators, court order to set aside award, decision on jurisdiction or forum or venue challenge, enforcement order, evidence obtained through court assistance, freezing order, interpretation or correction of award, notice of appeal, recusal decision, registration of award, stay of proceedings in favour of arbitration","Related proceedings commenced, outcome of related proceedings received","Challenges, appeals and enforcement",Special
