#,Phase,Description,Tasks,Deliverables,Milestones,Alternative names,General / Special,Parent phase,Relationship to parent
0,Civil Litigation,"This process map covers the phases commonly involved in civil litigation. It aims to be relevant across different litigation systems and national traditions so as to enable them to be handled and analysed in a like-for-like way. Civil law systems, for example, do not organise proceedings into trial and pre-trial in the way that common law systems do. Process maps for particular types of litigation will inevitably have differences from this generic process map but can be mapped to it. Phases in specific litigation matters can be based on this process map or, where available, the process map for a particular litigation type.",,,,,,,
1,Commencement,"Covers exchange of information and positions before court proceeding and initiation of court proceedings. Settlement proposals are excluded (see Settlement phase). Disputes about procedural failures to commence correctly belong here; disputes about jurisdiction belong in Related proceedings. Entry of judgment in default of appearance or defence is included here. The initial exchange of claims/counterclaims, defences/answers and other pleadings is included; subsequent rounds belong in Pleadings and evidence.","acknowledge service, correspond before action / claim, file initial court documents, issue proceedings, pay initial court fees, prepare and review pleadings, prepare answer, prepare complaint, prepare counterclaim, prepare crossclaim, prepare defence, prepare initial court documents, prepare reply, prepare statement of claim, receive service, serve proceedings / complaint / process / request","acknowledgement of service, answer / defence, claim form, counterclaim / crossclaim, letter before action / claim, reply, response to letter before action / claim, summons, writ","Letter before claim sent and response received, proceedings issued and served, initial statements of case exchanged",,General,Commencement,One to one
2,Case management,"Covers establishment of the procedure, timetable and (if applicable) budget, interim measures, and resolution of issues arising other than the merits of the case. Summary determinations belong in Resolving the merits. Applications about evidence (eg document production) are included here; gathering evidence is in Pleadings and evidence.","appear at or attend case management conference / CMC / case management meeting, appear at or attend procedural hearing, apply for conservatory measures, apply for disclosure or document production, apply for freezing order, apply for interim injunction, apply for interim measures, apply for temporary preservation order, apply to consolidate, apply to join, establish procedural timetable","application or motion, decision or order made on application or motion, directions, document production order, procedural order, procedural timetable, subpoena, witness summons","Procedural timetable agreed, any interim applications determined",Procedural matters,General,Case management,One to one
3,Pleadings and evidence,Covers preparation and exchange of all evidence and (where applicable) memorials. Pleadings and evidence are combined in a single phase to accommodate the variety of ways in which these topics are addressed in different systems. This phase includes memorials as used in some courts. Initial exchanges of claims and answers belong in Commencement. Live examination of witnesses at trial belongs in Resolving the merits. Evidence prepared solely for Case management is excluded.,"arrange for experts to meet, advise on factual legal and evidential issues, gather analyse and disclose documentary evidence, deduplicate documents, establish keywords, instruct expert witnesses, interview factual witnesses, prepare advice on factual, evidential or legal issues, prepare and analyse memorials written submissions and pleadings, prepare agenda for meeting of experts, prepare factual witness statements, review documents, review draft and final reports of expert witnesses, review factual witness statements, select ediscovery / edisclosure platform, use technology-assisted review / TAR","advice on factual, evidential or legal issues, amended pleading, depositions, document or exhibit list, documentary evidence, expert reports, further and better particulars, further information, request for further and better particulars, request for further information, witness statement",Evidence exchanged,Evidence and written submissions,General,Pleadings and evidence,One to one
4,Resolving the merits,"Covers presentation of the substantive issues in the case to the court and obtaining decisions on those issues and on costs. This phase will often involve one or more hearings but not necessarily in all systems. In a common law system it includes trials but also other methods of resolving the substance of a case, such as summary judgment, summary decree or strike-out.","argue factual legal and procedural issues, examine witnesses, make submissions, prepare for and appear at substantive hearing, prepare for and appear at summary judgment hearing, prepare for and appear at trial of preliminary issue, prepare for and appear on strike-out application, prepare witness examination, represent party at substantive hearing, resolve how substantive hearing will be conducted","brief, cast of characters, chronology, closing statement, decision on costs, decision judgment or judicial opinion, dramatis personae, key players list, note of hearing, opening statement, post-hearing submissions / memorials, skeleton argument, transcript of hearing, witness schedule, written submissions","Substantive hearing(s) completed, judgment or decision issued","Merits hearing(s), Substantive hearing(s)",General,Resolving the merits,One to one
5,Settlement,Covers seeking an agreed resolution of substantive issues in the case. This is a standing phase that runs throughout the matter.,"analyse BATNAs, analyse settlement options, draft and negotiate settlement agreement, engage in ADR, engage in alternative dispute resolution, engage in early neutral evaluation, engage in ENE, engage in med-arb, engage in mediation, engage in negotiated dispute resolution, engage in NDR, engage in non-court-based dispute resolution, engage in NCBDR, engage in other forms of non-binding dispute resolution, engage in settlement discussion, explore settlement options, hold without prejudice discussion, identify common ground, identify key decision-makers for settlement, implement agreed settlement terms, make and analyse offer or counter-offer, negotiate confidentiality terms for settlement discussions, obtain necessary approvals for settlement, prepare position paper, present position in settlement meeting, select a neutral party for mediation or facilitation","consent order, mediation position paper, mediation settlement agreement, settlement agreement, settlement offer","Settlement discussions formally commenced, settlement agreement reached and implemented (if applicable)",,General,Settlement,One to one
6,Related proceedings,"Covers challenges to the bringing of proceedings, challenges to the judge's involvement (recusal), enforcement of judgments, orders or other decisions, and challenges to those decisions. Challenges to jurisdiction / venue / forum are included here. If related proceedings in a different forum are likely to be complex, consider opening a separate matter or sub-matter.","appeal, apply for or resist recusal, apply to or resist setting aside of decision, challenge jurisdiction or forum or venue, enforce or resist enforcement","court application, decision on jurisdiction or forum or venue challenge, enforcement order, freezing order, notice of appeal, recusal decision, registration of award","Related proceedings or appeal filed, outcome received","Challenges, appeals and enforcement",Special,Related proceedings,One to one
